,No,IP,EA,BG,smiles
134,C7115,5.7900159,2.5035921,3.286423800000001,c1cc2c(cc1)cc1c(c(cc3c1ccc1c3ccc3cc4ccccc4cc13)C#N)c2
135,C821,5.0969772,3.1868352,1.910142,c1cc2cc3c(cc2cc1C#N)cc1cc2cc4c(ccc5c4cc4ccccc4c5)cc2cc1c3
136,C878,5.4648564,2.7095718,2.7552846,c1cc2cc3c(cc2cc1)c1cc2c(cc1cc3)c1cc3cc4c(cccc4)cc3cc1c(c2)C#N
137,C71.2,4.9690902,3.0872466000000003,1.8818436,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
138,C733,5.2221432000000005,3.0788115,2.1433317,c1cc2c(cc1)cc1cc3c(c4c(ccc5c4ccc4c5cccc4)cc3cc1c2)C#N
139,C7191,6.114631200000001,2.2826469,3.8319843,c1cc2c(cc1)c1c(c3c2cccc3)c2c(cc1)c1c(cccc1)c1c2ccc(c1)C#N
140,C782,5.6809038,2.704674,2.9762298,c1cc2cc3c(cc2cc1)c1cc2c(c4c(ccc5ccccc45)cc2cc1cc3)C#N
141,C7169,5.8055256,2.3082243,3.4973013,c1cc2c(cc1)c1cc3c(cc1cc2)c1cc2c(cc1cc3)c1c(ccc(c1)C#N)cc2
142,C81.16,4.865148,3.3571698000000003,1.5079781999999995,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)c(c2c(c1)cccc2)C#N
143,C81.20,4.8126327,3.2915937,1.5210390000000005,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
144,C881,5.6017227,2.6167857000000003,2.984937,c1cc2cc3c(cc2cc1C#N)c1c(cc3)c2c(cc1)cc1c(ccc3c1ccc1c3cccc1)c2
145,C71.3,4.9965723,3.1218033000000003,1.874769,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
146,C861,5.1941169,2.9487477,2.2453692000000003,c1ccc2cc3cc4c(ccc5c4c4cc6cc7cc(ccc7cc6cc4cc5)C#N)cc3cc2c1
147,C8124,5.8727343,2.2927146,3.5800197,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(c2)C#N)c2c(cc1)c1c(cc2)c2c(cccc2)cc1
148,C7132,5.6964135,2.6293023,3.0671112000000007,c1cc2c(cc1)cc1c(c(cc3c1ccc1c3cc3c(ccc4ccccc34)c1)C#N)c2
149,C7122,5.5165554000000006,2.6241324,2.8924230000000004,c1cc2c(cc1)c1c(cc2)cc2cc3ccc4c(ccc5c4ccc(c5)C#N)c3cc2c1
150,C81.9,4.9263705,3.4159434000000006,1.5104270999999994,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1C#N)cc1c(c2)cc2c(c1)cccc2
151,C731,5.259693,3.0722811,2.1874119000000003,c1cc2c(cc1C#N)cc1cc3cc4c(ccc5c4ccc4c5cccc4)cc3cc1c2
152,C788,5.7029439,2.6559681,3.0469758,c1cc2cc3c(cc2cc1)c1cc2cc4c(cc(c5ccccc45)C#N)cc2cc1cc3
153,C8136,5.4466257,2.5180134,2.9286123,c1cc2cc3cc4c5ccccc5c5c(ccc6c5c5c(cc(cc5)C#N)cc6)c4cc3cc2cc1
154,C762,5.5894782,2.8491591,2.7403191,c1cc2c(cc1)c(c1cc3c(ccc4c3cc3ccc5c(cccc5)c3c4)cc1c2)C#N
155,C779,5.4439047,2.7365097,2.707395,c1cc2c(cc1)cc1cc3c(c(cc4c3ccc3c4c4c(cccc4)cc3)C#N)cc1c2
156,C746,5.3764239,2.851608,2.5248159,c1cc2cc3c(cc2cc1)c1c(cc3)c2cc3cc4ccccc4cc3cc2cc1C#N
157,C7168,5.8302867,2.4459069,3.3843798,c1cc2c(cc1)c1cc3c(cc1cc2)c1cc2c(c(c1cc3)C#N)c1c(cccc1)cc2
158,C752,5.3372415,2.9626248000000004,2.3746167,c1cc2c(cc1)c1cc3cc4c(c5c(ccc6ccccc56)cc4cc3cc1cc2)C#N
159,C768,5.5092087,2.66658,2.8426287,c1cc2c(cc1)cc1cc3c(c(cc4c3cc3ccc5c(cccc5)c3c4)C#N)cc1c2
