,No,IP,EA,BG,smiles
133,3N511_5,6.357888600000001,3.9321171,2.4257715,c1c(N(=O)=O)c2c(c(N(=O)=O)c1)cc1cc3c(ccc4c3cccc4)c(N(=O)=O)c1c2
134,3N511_6,6.427546200000001,3.803958,2.6235882000000004,c1cc2c(cc1N(=O)=O)c(N(=O)=O)c1cc3c(ccc4c3cccc4N(=O)=O)cc1c2
135,3N511_7,6.224287500000001,3.657024,2.5672635000000006,c1cc2c(cc1)cc1cc3c(c(N(=O)=O)c(N(=O)=O)c4c3ccc(N(=O)=O)c4)cc1c2
136,3N511_8,6.393261600000001,3.7402866,2.652975,c1c(N(=O)=O)c2c(cc1)c(N(=O)=O)c1cc3c(ccc4c3cc(N(=O)=O)cc4)cc1c2
137,3N512_1,6.0525924,4.0031352,2.0494572,c1(N(=O)=O)cc2cc3cc4cc5c(c(N(=O)=O)ccc5)cc4cc3c(N(=O)=O)c2cc1
138,3N512_3,6.0248382000000005,4.0847652000000005,1.940073,c1(N(=O)=O)cc2c(N(=O)=O)c3c(N(=O)=O)c4cc5c(cccc5)cc4cc3cc2cc1
139,3N512_4,5.8272936,4.0654461,1.7618475,c1cc2cc3cc4cc5c(c(N(=O)=O)ccc5N(=O)=O)c(N(=O)=O)c4cc3cc2cc1
140,3N512_5,6.065653200000001,4.056194700000001,2.0094585,c1(N(=O)=O)cc2c(N(=O)=O)c3cc4cc5c(cccc5)c(N(=O)=O)c4cc3cc2cc1
141,3N512_6,5.9731392,3.9620481,2.0110911,c1cc2cc3cc4cc5c(ccc(N(=O)=O)c5N(=O)=O)cc4cc3c(N(=O)=O)c2cc1
142,3N512_7,5.942664000000001,4.0012305,1.9414335000000007,c1cc2cc3c(N(=O)=O)c4cc5c(ccc(N(=O)=O)c5N(=O)=O)cc4cc3cc2cc1
143,3N512_8,5.9445687000000005,3.9190563,2.0255124,c1cc2cc3cc4cc5c(c(N(=O)=O)ccc5)c(N(=O)=O)c4c(N(=O)=O)c3cc2cc1
144,3N512_9,6.1666023,4.1419062,2.0246961000000003,c1(N(=O)=O)cc2cc3c(N(=O)=O)c4cc5c(cc(N(=O)=O)cc5)cc4cc3cc2cc1
145,3N55_1,6.6359748000000005,3.4815195000000005,3.1544553000000004,c1cc2c(cc1)c1cc3c(ccc4ccc(N(=O)=O)c(N(=O)=O)c34)c(N(=O)=O)c1cc2
146,3N55_2,6.932835900000001,3.4714518,3.4613841000000005,c1cc2c(cc1N(=O)=O)c1cc3c(c(N(=O)=O)cc4ccccc34)c(N(=O)=O)c1cc2
147,3N55_3,6.674613,3.5253276,3.1492854,c1cc2c(cc1)c1c(N(=O)=O)c3c(c(N(=O)=O)cc4c(N(=O)=O)cccc34)cc1cc2
148,3N55_4,6.809030400000001,3.7650477,3.043982700000001,c1c(N(=O)=O)c2c(cc1)c1cc3c(c(N(=O)=O)cc4ccc(N(=O)=O)cc34)cc1cc2
149,3N55_5,6.6838644,3.787632,2.8962324,c1(N(=O)=O)cc2c(cc1N(=O)=O)c1cc3c(ccc4ccccc34)cc1c(N(=O)=O)c2
150,3N55_6,6.7859019,3.5057364000000004,3.2801655,c1c(N(=O)=O)c2c(cc1)c1cc3c(c(N(=O)=O)cc4c(N(=O)=O)cccc34)cc1cc2
151,3N55_7,6.8275332,3.5438304,3.2837027999999995,c1(N(=O)=O)c(N(=O)=O)c2c(cc1)c1cc3c(ccc4cc(N(=O)=O)ccc34)cc1cc2
152,3N55_8,6.7478079,3.7051857,3.0426221999999994,c1cc2c(cc1)c1cc3c(cc(N(=O)=O)c4c(N(=O)=O)cc(N(=O)=O)cc34)cc1cc2
153,3N55_9,6.7750179,3.6031482000000006,3.1718697,c1cc2c(cc1)c1cc3c(cc(N(=O)=O)c4cc(N(=O)=O)c(N(=O)=O)cc34)cc1cc2
154,3N61_1,5.6289327,3.9615039,1.6674288000000002,c1c(N(=O)=O)c2c(N(=O)=O)c3cc4c(N(=O)=O)c5cc6c(cccc6)cc5cc4cc3cc2cc1
155,3N61_10,5.727705,4.0205496,1.7071553999999998,c1cc2cc3cc4c(N(=O)=O)c5c(N(=O)=O)c6c(cccc6)cc5cc4cc3c(N(=O)=O)c2cc1
156,3N61_2,5.5919271,3.9941559,1.5977712,c1cc2cc3cc4cc5cc6c(c(N(=O)=O)ccc6)c(N(=O)=O)c5c(N(=O)=O)c4cc3cc2cc1
157,3N61_3,5.6711082,4.1176893,1.5534189,c1cc2cc3cc4c(N(=O)=O)c5cc6c(cc(N(=O)=O)cc6N(=O)=O)cc5cc4cc3cc2cc1
158,3N61_4,5.6030832,3.9636807,1.6394025,c1cc2c(N(=O)=O)c3cc4cc5cc6c(cccc6N(=O)=O)cc5cc4cc3cc2c(N(=O)=O)c1
159,3N61_5,5.5543773000000005,3.9813672,1.5730101,c1cc2cc3cc4cc5cc6c(cc(N(=O)=O)c(N(=O)=O)c6N(=O)=O)cc5cc4cc3cc2cc1
160,3N61_6,5.6294769,3.9677622,1.6617146999999997,c1c(N(=O)=O)c2cc3cc4cc5c(N(=O)=O)c6c(cccc6)c(N(=O)=O)c5cc4cc3cc2cc1
